data;pivo;cultura;aplicacao;observacao;status;motivo;dataFinal
"03/01/2024";"127";"Soja";"BIO ND";"Todo";"OK";"Realizado";"05/01/2024"
"03/01/2024";"46";"Soja";"BIO ND";"Todo";"OK";"Realizado";"08/01/2024"
"03/01/2024";"52";"Soja";"BIO ND";"Todo";"Feito com Avião";"Cancelado";"03/01/2024"
"04/01/2024";"125";"Soja";"BIO ND";"Todo";"OK";"Realizado";"05/01/2024"
"04/01/2024";"56";"Algodão";"UREIA";"Todo";"Feito a Lanço";"Cancelado";"04/01/2024"
"05/01/2024";"102";"Soja";"PRIMAFERT";"1/2 Pivô";"OK";"Realizado";"05/01/2024"
"05/01/2024";"30";"Algodão";"UREIA";"Todo";"Feito a Lanço";"Cancelado";"05/01/2024"
"05/01/2024";"45";"Soja";"BIO ND";"Todo";"Fusivel Estourado";"Elétrico";"10/01/2024"
"09/01/2024";"45";"Soja";"BIO ND";"Todo";"OK";"Realizado";"10/01/2024"
"10/01/2024";"31";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"11/01/2024"
"10/01/2024";"104";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"10/01/2024"
"11/01/2024";"56";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"12/01/2024"
"11/01/2024";"103";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"11/01/2024"
"11/01/2024";"60";"Algodão";"UREIA";"1/2 Pivô";"OK";"Realizado";"11/01/2024"
"12/01/2024";"101";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"12/01/2024"
"12/01/2024";"60";"Algodão";"UREIA";"1/2 Pivô";"OK";"Realizado";"12/01/2024"
"12/01/2024";"67";"Algodão";"UREIA";"Todo";"OK";"Realizado";"16/01/2024"
"15/01/2024";"70";"Algodão";"PRIMAFERT+BIO GREEN";"1/2 Pivô";"OK";"Realizado";"17/01/2024"
"15/01/2024";"44";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"16/01/2024"
"15/01/2024";"26";"Algodão";"UREIA";"Todo";"OK";"Realizado";"16/01/2024"
"16/01/2024";"29";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"AB";"OK";"Realizado";"16/01/2024"
"16/01/2024";"24";"Algodão";"UREIA";"Todo";"OK";"Realizado";"18/01/2024"
"16/01/2024";"17";"Algodão";"UREIA";"Todo";"OK";"Realizado";"18/01/2024"
"17/01/2024";"29";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"CD";"OK";"Realizado";"17/01/2024"
"17/01/2024";"55";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"18/01/2024"
"17/01/2024";"30";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"19/01/2024"
"18/01/2024";"25";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"AB";"OK";"Realizado";"18/01/2024"
"18/01/2024";"33";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"19/01/2024"
"18/01/2024";"23";"Algodão";"UREIA";"Todo";"OK";"Realizado";"19/01/2024"
"19/01/2024";"25";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"CD";"OK";"Realizado";"19/01/2024"
"19/01/2024";"34";"Algodão";"BIO MEGA";"Todo";"Bomba";"Operacional";"23/01/2024"
"19/01/2024";"73";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"19/01/2024"
"22/01/2024";"34";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"23/01/2024"
"22/01/2024";"39";"Algodão";"UREIA";"Todo";"OK";"Realizado";"23/01/2024"
"22/01/2024";"27";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"CD";"OK";"Realizado";"23/01/2024"
"23/01/2024";"27";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"AB";"OK";"Realizado";"25/01/2024"
"23/01/2024";"40";"Algodão";"UREIA";"Todo";"OK";"Realizado";"24/01/2024"
"23/01/2024";"32";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"24/01/2024"
"24/01/2024";"109";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"25/01/2024"
"24/01/2024";"41";"Algodão";"UREIA";"Todo";"OK";"Realizado";"26/01/2024"
"24/01/2024";"26";"Algodão";"BIO MEGA";"Todo";"Falta de Energia";"Elétrico";"30/01/2024"
"25/01/2024";"116";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+TEC CATP";"Todo";"OK";"Realizado";"26/01/2024"
"25/01/2024";"133";"Soja";"BIO ND";"Todo";"OK";"Realizado";"26/01/2024"
"25/01/2024";"74";"Algodão";"BIO MEGA";"1/2 Pivô";"OK";"Realizado";"25/01/2024"
"25/01/2024";"130";"Soja";"BIO ND";"Todo";"OK";"Realizado";"25/01/2024"
"26/01/2024";"110";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"26/01/2024"
"26/01/2024";"23";"Algodão";"BIO MEGA";"Todo";"Mudança de Manejo";"Operacional";"06/02/2024"
"26/01/2024";"128";"Soja";"BIO ND";"Todo";"OK";"Realizado";"26/01/2024"
"29/01/2024";"26";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"30/01/2024"
"29/01/2024";"23";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"29/01/2024"
"30/01/2024";"24";"Algodão";"BIO MEGA";"1/2 Pivô";"Estrutura";"Operacional";""
"30/01/2024";"129";"Soja";"BIO ND";"Todo";"OK";"Realizado";"31/01/2024"
"30/01/2024";"69";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"30/01/2024"
"30/01/2024";"39";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"01/02/2024"
"30/01/2024";"40";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"01/02/2024"
"01/02/2024";"118";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+TEC CATP";"Todo";"Chuva";"Operacional";""
"01/02/2024";"41";"Algodão";"BIO MEGA";"Todo";"Transformador";"Elétrico";""
"01/02/2024";"70";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"01/02/2024"
"02/02/2024";"116";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+BORO";"Todo";"Chuva";"Operacional";""
"02/02/2024";"72";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"02/02/2024"
"02/02/2024";"43";"Algodão";"BIO MEGA";"Todo";"Falta de Energia";"Elétrico";"19/02/2024"
"05/02/2024";"24";"Algodão";"BIO MEGA";"1/2 Pivô";"OK";"Realizado";"05/02/2024"
"05/02/2024";"118";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+TEC CATP";"Todo";"OK";"Realizado";"05/02/2024"
"05/02/2024";"116";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+BORO";"Todo";"OK";"Realizado";"05/02/2024"
"06/02/2024";"41";"Algodão";"BIO MEGA";"Todo";"Transformador";"Elétrico";""
"06/02/2024";"23";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"06/02/2024"
"06/02/2024";"11";"Soja";"UREIA";"1/2 Pivô";"OK";"Realizado";"06/02/2024"
"07/02/2024";"43";"Algodão";"BIO MEGA";"Todo";"Transformador";"Elétrico";"19/02/2024"
"07/02/2024";"67";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"07/02/2024"
"07/02/2024";"117";"Algodão";"UREIA";"Todo";"Feito a Lanço";"Cancelado";"07/02/2024"
"08/02/2024";"68";"Algodão";"BIO MEGA";"Todo";"Cabo Rompido";"Elétrico";"20/02/2024"
"08/02/2024";"58";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"08/02/2024"
"08/02/2024";"118";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+BORO";"Todo";"Chuva";"Operacional";"13/02/2024"
"09/02/2024";"119";"Algodão";"UREIA";"Todo";"Feito a Lanço";"Cancelado";"09/02/2024"
"09/02/2024";"66";"Algodão";"BIO MEGA";"Todo";"Cabo Rompido";"Elétrico";"19/02/2024"
"09/02/2024";"1";"Algodão";"UREIA";"Todo";"OK";"Realizado";"09/02/2024"
"13/02/2024";"43";"Algodão";"BIO MEGA";"Todo";"Erosão/Rastro";"Operacional";"19/02/2024"
"13/02/2024";"68";"Algodão";"BIO MEGA";"Todo";"Cabo Rompido";"Elétrico";"20/02/2024"
"13/02/2024";"118";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+BORO";"Todo";"OK";"Realizado";"13/02/2024"
"14/02/2024";"22";"Algodão";"BIO MEGA";"Todo";"Erosão/Rastro";"Operacional";"26/02/2024"
"14/02/2024";"58";"Algodão";"UREIA";"Todo";"OK";"Realizado";"14/02/2024"
"15/02/2024";"21";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"15/02/2024"
"15/02/2024";"126";"Tabaco";"BIO RAIZ+BIO RAIZ MAIS+TECCATP";"Todo";"Cancelado";"Cancelado";"15/02/2024"
"16/02/2024";"16";"Algodão";"BIO MEGA";"Todo";"Erosão/Rastro";"Operacional";""
"16/02/2024";"68";"Algodão";"UREIA";"Todo";"OK";"Realizado";"16/02/2024"
"16/02/2024";"70";"Algodão";"BIO GREEN+PRIMAFERT";"Todo";"OK";"Realizado";"16/02/2024"
"19/02/2024";"43";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"19/02/2024"
"19/02/2024";"66";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"19/02/2024"
"20/02/2024";"22";"Algodão";"BIO MEGA";"Todo";"Cabo Rompido";"Elétrico";"26/02/2024"
"20/02/2024";"68";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"20/02/2024"
"20/02/2024";"25";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"1/2 Pivô";"OK";"Realizado";"20/02/2024"
"20/02/2024";"25";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"1/2 Pivô";"OK";"Realizado";"20/02/2024"
"20/02/2024";"43";"Algodão";"UREIA";"Todo";"Chuva";"Operacional";""
"22/02/2024";"53";"Algodão";"UREIA";"Todo";"Chuva";"Operacional";""
"22/02/2024";"29";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"1/2 Pivô";"OK";"Realizado";"22/02/2024"
"22/02/2024";"29";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"1/2 Pivô";"OK";"Realizado";"22/02/2024"
"26/02/2024";"43";"Algodão";"UREIA";"Todo";"OK";"Realizado";"26/02/2024"
"26/02/2024";"22";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"26/02/2024"
"27/02/2024";"53";"Algodão";"UREIA";"Todo";"OK";"Realizado";"27/02/2024"
"27/02/2024";"5";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"27/02/2024"
"28/02/2024";"24";"Algodão";"UREIA";"1/2 Pivô";"OK";"Realizado";"28/02/2024"
"28/02/2024";"126";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO+TECHCTP+BORO";"Todo";"OK";"Realizado";"28/02/2024"
"28/02/2024";"116";"Tabaco";"NUTRISYSTEM+MAGNESIO+BORO";"Todo";"OK";"Realizado";"28/02/2024"
"29/02/2024";"121";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO+TECHCTP";"Todo";"OK";"Realizado";"29/02/2024"
"29/02/2024";"58";"Algodão";"UREIA";"Todo";"OK";"Realizado";"29/02/2024"
"01/03/2024";"126";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO";"Todo";"OK";"Realizado";"01/03/2024"
"01/03/2024";"2";"Algodão";"BIO MEGA";"Todo";"Cabo Rompido";"Elétrico";"05/03/2024"
"04/03/2024";"118";"Tabaco";"NUTRISYSTEM+MAGNESIO+BORO";"Todo";"OK";"Realizado";"12/03/2024"
"04/03/2024";"2";"Algodão";"BIO MEGA";"1/2 Pivô";"OK";"Realizado";"04/03/2024"
"04/03/2024";"27";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"1/2 Pivô";"OK";"Realizado";"04/03/2024"
"04/03/2024";"24";"Algodão";"UREIA";"1/2 Pivô";"OK";"Realizado";"04/03/2024"
"05/03/2024";"116";"Tabaco";"NUTRISYSTEM";"Todo";"OK";"Realizado";"05/03/2024"
"05/03/2024";"2";"Algodão";"BIO MEGA";"1/2 Pivô";"OK";"Realizado";"05/03/2024"
"05/03/2024";"27";"Cacau";"ARIABHATTAI+AZOSPIRILLUM";"1/2 Pivô";"OK";"Realizado";"05/03/2024"
"05/03/2024";"32";"Algodão";"UREIA";"Todo";"Adutora Estourada";"Mecânico";"20/03/2024"
"07/03/2024";"121";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO+BORO";"Todo";"Chuva";"Operacional";"14/03/2024"
"08/03/2024";"1";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"08/03/2024"
"08/03/2024";"57";"Algodão";"BIO MEGA";"Todo";"Chuva";"Operacional";"12/03/2024"
"08/03/2024";"124";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO+TECHCTP";"Todo";"OK";"Realizado";"08/03/2024"
"11/03/2024";"116";"Tabaco";"PRO K";"Todo";"OK";"Realizado";"12/03/2024"
"11/03/2024";"31";"Algodão";"UREIA";"1/2 Pivô";"OK";"Realizado";"11/03/2024"
"11/03/2024";"25";"Cacau";"BIO FUNGI";"AB";"OK";"Realizado";"12/03/2024"
"12/03/2024";"25";"Cacau";"BIO FUNGI";"CD";"OK";"Realizado";"12/03/2024"
"12/03/2024";"57";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"12/03/2024"
"12/03/2024";"32";"Algodão";"UREIA";"1/2 Pivô";"Adutora Estourada";"Mecânico";"20/03/2024"
"13/03/2024";"121";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO+BORO";"Todo";"OK";"Realizado";"14/03/2024"
"13/03/2024";"29";"Cacau";"BIOCROMOS+BIOESPINOSA";"CD";"OK";"Realizado";"14/03/2024"
"13/03/2024";"61";"Algodão";"UREIA";"Todo";"OK";"Realizado";"15/03/2024"
"14/03/2024";"126";"Tabaco";"NUTRISYSTEM+MAGNESIO+BORO";"Todo";"OK";"Realizado";"15/03/2024"
"14/03/2024";"29";"Cacau";"BIOCROMOS+BIOESPINOSA";"AB";"OK";"Realizado";"15/03/2024"
"15/03/2024";"69";"Algodão";"UREIA";"Todo";"OK";"Realizado";"15/03/2024"
"15/03/2024";"15";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"21/03/2024"
"15/03/2024";"118";"Tabaco";"NUTRISYSTEM";"Todo";"OK";"Realizado";"18/03/2024"
"18/03/2024";"116";"Tabaco";"PRO K";"Todo";"OK";"Realizado";"19/03/2024"
"18/03/2024";"32";"Algodão";"UREIA";"Todo";"OK";"Realizado";"20/03/2024"
"18/03/2024";"71";"Algodão";"UREIA+BIO MEGA";"1/2 Pivô";"OK";"Realizado";"19/03/2024"
"19/03/2024";"123";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIS MAIS PRO+TECCATP";"Todo";"OK";"Realizado";"21/03/2024"
"19/03/2024";"33";"Algodão";"UREIA";"Todo";"OK";"Realizado";"19/03/2024"
"20/03/2024";"126";"Tabaco";"NUTRISYSTEM DESENVOLVIMENTO";"Todo";"OK";"Realizado";"21/03/2024"
"20/03/2024";"106";"Algodão";"BIO MEGA+BIO AZ";"Todo";"OK";"Realizado";"22/03/2024"
"20/03/2024";"20";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"21/03/2024"
"21/03/2024";"118";"Tabaco";"PRO K";"Todo";"OK";"Realizado";"22/03/2024"
"21/03/2024";"105";"Algodão";"BIO MEGA+BIO AZ";"Todo";"OK";"Realizado";"26/03/2024"
"21/03/2024";"59";"Algodão";"BIO MEGA";"Todo";"Pivô Atolado";"Operacional";"25/03/2024"
"22/03/2024";"124";"Tabaco";"BIO RAIZ PLUS+BIO RAIZ PRO+BIO RAIZ MAIS PRO+BORO";"Todo";"Falta de Energia";"Elétrico";"01/04/2024"
"22/03/2024";"107";"Algodão";"BIO MEGA+BIO AZ";"Todo";"Falta de Energia";"Elétrico";"27/03/2024"
"22/03/2024";"61";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"22/03/2024"
"25/03/2024";"70";"Algodão";"PRIMAFERT";"1/2 Pivô";"OK";"Realizado";"26/03/2024"
"25/03/2024";"118";"Tabaco";"PRO K";"Todo";"OK";"Realizado";"26/03/2024"
"25/03/2024";"59";"Algodão";"BIO MEGA";"Todo";"OK";"Realizado";"26/03/2024"
"26/03/2024";"116";"Tabaco";"PRO K";"Todo";"Pulverização";"Operacional";"02/04/2024"
"26/03/2024";"28";"Algodão";"UREIA+BIO MEGA";"Todo";"OK";"Realizado";"27/03/2024"
"26/03/2024";"107";"Algodão";"BIO MEGA+BIO AZ";"Todo";"OK";"Realizado";"27/03/2024"
"27/03/2024";"121";"Tabaco";"NUTRISYSTEM+BORO+MAGNESIO";"Todo";"OK";"Realizado";"28/03/2024"
