Data;Pivô;Causa;Tipo;Horas
"2023-08-22";"31";"Falta de Produto / Operacional";"Operacional";"1.8"
"2023-08-22";"41";"Falha de Alinhamento / Operacional";"Operacional";"2.5667"
"2023-08-22";"58";"Falha de Alinhamento / Operacional";"Operacional";"3.8667"
"2023-08-22";"71";"Bomba / Elétrico";"Elétrico";"5.05"
"2023-08-22";"124";"Motorredutor / Mecânico";"Mecânico";"3.9833"
"2023-08-23";"24";"Limpeza e Afeirição / Operacional";"Operacional";"0.8833"
"2023-08-23";"60";"Limpeza e Afeirição / Operacional";"Operacional";"2.1"
"2023-08-23";"61";"Plantio / Operacional";"Operacional";"1.3667"
"2023-08-23";"61";"Atraso da Eq. Irrigação / Operacional";"Operacional";"3.15"
"2023-08-23";"58";"Entupimento na Sucção / Operacional";"Operacional";"4"
"2023-08-23";"68";"Adubação  / Operacional";"Operacional";"9.85"
"2023-08-24";"26";"Tensão / Elétrico";"Elétrico";"4.9667"
"2023-08-24";"31";"Adubação  / Operacional";"Operacional";"4.2667"
"2023-08-24";"59";"Pulverização / Operacional";"Operacional";"4.5"
"2023-08-24";"67";"Falha de Alinhamento / Operacional";"Operacional";"3.8667"
"2023-08-24";"113";"Syngenta / Operacional";"Operacional";"1.0833"
"2023-08-24";"119";"Syngenta / Operacional";"Operacional";"5.4667"
"2023-08-25";"17";"Falha de Alinhamento / Operacional";"Operacional";"0.7833"
"2023-08-25";"41";"Falha de Alinhamento / Operacional";"Operacional";"0.6"
"2023-08-25";"113";"Syngenta / Operacional";"Operacional";"2.8333"
"2023-08-25";"117";"Falha de Alinhamento / Operacional";"Operacional";"0.7833"
"2023-08-25";"117";"Syngenta / Operacional";"Operacional";"4.4167"
"2023-08-28";"58";"Syngenta / Operacional";"Operacional";"5.4833"
"2023-08-28";"115";"Chuva  / Operacional";"Operacional";"2.6"
"2023-08-28";"129";"Bomba / Elétrico";"Elétrico";"7.5"
"2023-08-28";"41";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"52";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"58";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"59";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"61";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"67";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"71";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-28";"72";"Rede Interna / Elétrico";"Elétrico";"4.4"
"2023-08-29";"41";"Rede Interna / Elétrico";"Elétrico";"14.8"
"2023-08-29";"52";"Rede Interna / Elétrico";"Elétrico";"14.8"
"2023-08-29";"58";"Rede Interna / Elétrico";"Elétrico";"14.8"
