farm,sheet,row,motivo,raw
Karitel,PIVÔ 1,144,"data de inicio nao parseavel como serial Excel plausivel","1.A+B data=18/112/2019"
Karitel,PIVÔ 1,231,"data de inicio nao parseavel como serial Excel plausivel","1.A+B data=17/07/200"
Karitel,PIVÔ 1,232,"data de inicio nao parseavel como serial Excel plausivel","1.A+B data=17/07/201"
Karitel,PIVÔ 1,263,"sem horimetro inicial/final valido","1.A data=44082 h1=222 h2="
Karitel,PIVÔ 1,264,"sem horimetro inicial/final valido","1.B data=44083 h1= h2=237"
Karitel,PIVÔ 1,319,"sem horimetro inicial/final valido","1.A+B data=44168 h1= h2="
Karitel,PIVÔ 1,325,"sem horimetro inicial/final valido","1.A+B data=44188 h1= h2="
Karitel,PIVÔ 1,326,"sem horimetro inicial/final valido","1.A+B data=44193 h1= h2="
Karitel,PIVÔ 1,327,"sem horimetro inicial/final valido","1.A+B data=44195 h1= h2="
Karitel,PIVÔ 1,346,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,382,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,449,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,450,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,451,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,452,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,453,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,454,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,455,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,456,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,526,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,527,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,612,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,613,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,614,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,615,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,616,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,617,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,618,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,619,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,620,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,621,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,622,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,661,"data de inicio nao parseavel como serial Excel plausivel","1.A data=26/05/2023"
Karitel,PIVÔ 1,675,"sem data de inicio","1.A"
Karitel,PIVÔ 1,765,"sem data de inicio","1.A+B"
Karitel,PIVÔ 1,813,"sem data de inicio","1.A"
Karitel,PIVÔ 1,829,"sem data de inicio","1.A"
Karitel,PIVÔ 1,830,"sem data de inicio","1.A"
Karitel,PIVÔ 1,831,"sem data de inicio","1.A"
Karitel,PIVÔ 1,832,"sem data de inicio","1.A"
