fazenda,modulo,casa_bomba,marca,pivo_numero,area_ha,vazao_m3h,potencia_cv,potencia_kw,fonte
"Karitel","Módulo 01","R0","Valley","01","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R0","Valley","02","123.72","523.79999999999995","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R0","Valley","03","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R0","Valley","04","62.76","290","40","29.83","planilha_tecnica"
"Karitel","Módulo 01","R1","Valley","05","150.01","692.9","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R1","Valley","06","150.01","641","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R2","Valley","07","120.13","572.04999999999995","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R2","Valley","08","150.01","714.33","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R3","Valley","09","120.13","572.5","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R3","Valley","10","150.01","714.33","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R5","Valley","11","121.12","547.91999999999996","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R5","Valley","12","150.01","714.33","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R5","Valley","13","71.3","339.52","75","55.93","planilha_tecnica"
"Karitel","Módulo 01","R6","Valley","14","150.01","614.33000000000004","75","55.93","planilha_tecnica"
"Karitel","Módulo 01","R1","Valley","15","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R1","Valley","16","150.01","714.33","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R2","Valley","17","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R2","Valley","18","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R3","Valley","19","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R3","Valley","20","150.01","714.33","100","74.57","planilha_tecnica"
"Karitel","Módulo 01","R4","Valley","21","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R4","Valley","22","150.01","714.33","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R6","Valley","23","150.01","602.63","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R6","Valley","24","150.01","714.33","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R7","Valley","25","99.7","474.76","100","74.57","planilha_tecnica"
"Karitel","Módulo 01","R7","Valley","26","150.01","650.04","250","186.43","planilha_tecnica"
"Karitel","Módulo 01","R7","Valley","27","99.14","472.1","100","74.57","planilha_tecnica"
"Karitel","Módulo 01","R7","Valley","28","132.99","633.29","200","149.14","planilha_tecnica"
"Karitel","Módulo 01","R7","Valley","29","78.55","374.05","100","74.57","planilha_tecnica"
"Karitel","Módulo 01","C3Z3/R7","Valley","30","150.01","664.33","121.74","90.78","planilha_tecnica"
"Karitel","Módulo 01","C3Z3/R7","Valley","31","150.01","645.04","125","93.21","planilha_tecnica"
"Karitel","Módulo 01","C3Z3/R7","Valley","32","138.03","657.29","125","93.21","planilha_tecnica"
"Karitel","Módulo 01","C3Z3/R7","Valley","33","137.66999999999999","590.01","147","109.62","planilha_tecnica"
"Karitel","Módulo 01","C3Z3/R7","Valley","34","150.01","714.33","150","111.86","planilha_tecnica"
"Karitel","Módulo 01","C3Z3/R7","Valley","75","82","","","","DADO_NAO_DISPONIVEL"
"Karitel","Módulo 01","C3Z3/R7","Valley","76","75","","","","DADO_NAO_DISPONIVEL"
"Karitel","Módulo 02","R8","Lindsay","35","150.54","641.67999999999995","235","175.24","planilha_tecnica"
"Karitel","Módulo 02","R8","Lindsay","36","150.54","716.86","220","164.05","planilha_tecnica"
"Karitel","Módulo 02","R8","Lindsay","37","72","517.97","150","111.86","planilha_tecnica"
"Karitel","Módulo 02","R8","Lindsay","38","141","716.86","221","164.80","planilha_tecnica"
"Karitel","Módulo 02","R10","Lindsay","39","100.65","479.29","150","111.86","planilha_tecnica"
"Karitel","Módulo 02","R10","Lindsay","40","150.54","716.86","215","160.33","planilha_tecnica"
"Karitel","Módulo 02","R9","Lindsay","41","138.55000000000001","659.74","199","148.39","planilha_tecnica"
"Karitel","Módulo 02","R9","Lindsay","42","100.65","479.29","150","111.86","planilha_tecnica"
"Karitel","Módulo 02","R9","Lindsay","43","138.55000000000001","659.74","199","148.39","planilha_tecnica"
"Karitel","Módulo 02","R11","Lindsay","45","123.47","587.92999999999995","219","163.31","planilha_tecnica"
"Karitel","Módulo 02","R11","Lindsay","46","159.44999999999999","759.3","242","180.46","planilha_tecnica"
"Karitel","Módulo 02","R11","Lindsay","47","159.44999999999999","721.34","300","223.71","planilha_tecnica"
"Karitel","Módulo 02","R11","Lindsay","48","159.44999999999999","759.3","211","157.34","planilha_tecnica"
"Karitel","Módulo 02","R11","Lindsay","49","124.31","591.97","197","146.90","planilha_tecnica"
"Karitel","Módulo 02","R12","Lindsay","52","159.44999999999999","759.3","252","187.92","planilha_tecnica"
"Karitel","Módulo 02","R12","Lindsay","73","159.44999999999999","683.37","300","223.71","planilha_tecnica"
"Karitel","Módulo 02","R12","Lindsay","74","159.44999999999999","759.3","300","223.71","planilha_tecnica"
"Karitel","Módulo 03","R13","Lindsay","44","74.680000000000007","550.14","75","55.93","planilha_tecnica"
"Karitel","Módulo 03","R14","Lindsay","50","120.31","572.9","150","111.86","planilha_tecnica"
"Karitel","Módulo 03","R14","Lindsay","51","119.34","550.14","150","111.86","planilha_tecnica"
"Karitel","Módulo 03","R13","Lindsay","53","74.680000000000007","550.14","75","55.93","planilha_tecnica"
"Karitel","Módulo 03","R13","Lindsay","54","121.22","577.24","150","111.86","planilha_tecnica"
"Karitel","Módulo 03","R13","Lindsay","55","151.33000000000001","720.62","300","223.71","planilha_tecnica"
"Karitel","Módulo 03","R14","Lindsay","56","151.19999999999999","720","150","111.86","planilha_tecnica"
"Karitel","Módulo 03","R15","Valley","57","150.24","715.43","200","149.14","planilha_tecnica"
